filename,RA,dec,TIC ID,sector,camera,CCD,mag,label
tesslcs_sector_14_104/tesslcs_tmag_12_13/tesslc_268934915.pkl,299.42687336786287,46.7001556925226,268934915,14,2,4,12.8903,EB
tesslcs_sector_14_104/tesslcs_tmag_14_15/tesslc_90003106.pkl,301.50654243887493,31.797206063272,90003106,14,1,1,14.9186,Non-EB
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_272709670.pkl,296.65885018079086,42.369742977498,272709670,14,2,4,13.6568,EB
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_436364347.pkl,307.2303182126492,28.332636556146003,436364347,14,1,4,13.1475,Non-EB
tesslcs_sector_14_104/tesslcs_tmag_11_12/tesslc_122684183.pkl,291.0034915614752,38.5268533398636,122684183,14,1,2,11.8381,EB
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_169820068.pkl,297.757083497118,41.6804529127566,169820068,14,1,1,11.5768,EB
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_157551648.pkl,279.10282195570403,40.00219614870901,157551648,14,2,3,13.8022,Non-EB
tesslcs_sector_14_104/tesslcs_tmag_14_15/tesslc_244560838.pkl,301.422446397802,29.120709663925705,244560838,14,1,4,14.1291,Non-EB
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_123230395.pkl,280.971765527432,43.87557858216209,123230395,14,2,3,13.1481,EB
tesslcs_sector_14_104/tesslcs_tmag_13_14/tesslc_273131341.pkl,297.341660274498,46.5433496086138,273131341,14,2,4,13.5212,EB
tesslcs_sector_14_104/tesslcs_tmag_12_13/tesslc_1855967387.pkl,296.055775102835,26.0250865805973,1855967387,14,1,3,12.9747,Non-EB
tesslcs_sector_14_104/2_min_cadence_targets/tesslc_138639253.pkl,294.279047669637,41.4368915026208,138639253,14,2,4,11.5356,EB
tesslcs_sector_14_104/tesslcs_tmag_12_13/tesslc_164882604.pkl,285.157960743668,45.2648476951864,164882604,14,2,3,12.6786,EB
tesslcs_sector_14_104/tesslcs_tmag_14_15/tesslc_390208027.pkl,282.650785257665,40.5814772882038,390208027,14,2,3,14.6071,Non-EB
tesslcs_sector_14_104/tesslcs_tmag_12_13/tesslc_272181022.pkl,296.057577,42.110936,272181022,14,2,4,12.832,EB
